,Unnamed: 0,platforms,genres,rating,title,url,star,review,author,n_ratings,cover,id,type
55,55,PS3,游戏 / 角色扮演 / 冒险 / 动作,9.3,恶魔之魂 Demon's Souls,https://www.douban.com/game/25896767/,50.0,这才是真正的次世代恶魔城,Verlaat,238.0,https://img1.doubanio.com/lpic/s27985479.jpg,55,动作
56,56,PC,游戏 / 即时战略 / 动作,9.3,地下城守护者2 Dungeon Keeper 2,https://www.douban.com/game/10772024/,50.0,EA你丫赔我牛蛙!,史前物種做不到,160.0,https://img3.doubanio.com/lpic/s24458794.jpg,56,动作
57,57,PC / Mac / PS3 / Xbox 360,游戏 / 冒险 / 动作,9.3,刺客信条：兄弟会 Assassin's Creed: Brotherhood,https://www.douban.com/game/10754652/,50.0,后来我真正到了罗马，发现一切好像都似曾相识。,张眼,3999.0,https://img1.doubanio.com/lpic/s10191687.jpg,57,动作
58,58,PC / Mac / Xbox One / PS3 / Xbox 360,游戏 / 冒险 / 动作,9.3,刺客信条 2 Assassin's Creed II,https://www.douban.com/game/10758483/,50.0,育碧免费送唉。。。我tm赞爆！！！,MOMAX＋,5383.0,https://img3.doubanio.com/lpic/s9131462.jpg,58,动作
59,59,PC / Mac / Linux,游戏 / 动作 / 第一人称射击,9.3,半条命2：第二章 Half-Life 2: Episode Two,https://www.douban.com/game/19898237/,50.0,然后就没有然后了,雪龙,448.0,https://img1.doubanio.com/lpic/s29683597.jpg,59,动作
60,60,PC,游戏 / 动作,9.3,天地劫 神魔至尊传,https://www.douban.com/game/11504773/,50.0,如果要我选最好的三部国产游戏，神魔至尊传绝对是其中之一，与仙一和天之痕可以媲美，战棋类游戏的巅峰之作，没有之一。战斗系统设置得太好了，每个人物都有自己的战斗和技能特点，各种隐藏任务和宝物增加了可玩性，背景音乐太赞，还有那变态的难度，简直对新玩家太不友好了，但是依然玩得屁颠屁颠，五星,和氏璧,245.0,https://img3.doubanio.com/lpic/s11096465.jpg,60,动作
61,61,PSP,游戏 / 角色扮演 / 策略 / 动作,9.3,怪物猎人P2 モンスターハンターポータブル 2nd,https://www.douban.com/game/11605061/,50.0,这算是高考完那年分手的主要原因了。估计1000小时上下吧,你妈突然,396.0,https://img1.doubanio.com/lpic/s29432718.jpg,61,动作
62,62,iPhone / iPad / PSP,游戏 / 角色扮演 / 动作,9.3,怪物猎人P2G モンスターハンターポータブル 2nd G,https://www.douban.com/game/10781540/,50.0,＂等下數學課聯機打迅龍吧XD＂＂好啊好啊XD＂ ,[已注销],1418.0,https://img1.doubanio.com/lpic/s29432777.jpg,62,动作
63,63,PC / PS4 / Xbox One / Nintendo Switch,游戏 / 角色扮演 / 动作,9.3,黑暗之魂 重置版 Dark Souls Remastered,https://www.douban.com/game/27663464/,50.0,大家好，我是渣渣辉。贪玩黑魂，这系里从未玩过的全新版本。梦回罗德兰，我在城外不死镇等你，是兄弟就来砍我。,星子滑落夜空,729.0,https://img1.doubanio.com/lpic/s29664198.jpg,63,动作
64,64,PC / PS3 / Xbox 360,游戏 / 格斗 / 角色扮演 / 冒险 / 动作,9.3,南方公园：真理之杖 South Park: The Stick of Truth,https://www.douban.com/game/20423893/,50.0,黑曜石工作室操刀，二老亲自监督的游戏果然区别于一般随大流的游戏，游戏中可以看到很多剧集中出现的梗，甚至直接沿用的主机战争那三集的设定。除开一些令审查机构无法忍受以至于不得不黑屏的片段，这款游戏作为RPG来说是非常令人满意的。可影响发展的分支选择，丰富且并不重复的收集要素，节奏紧凑并别具一格的战斗，当然，以及一个非常非常非常南方公园式的故事。什么？你说有爆菊，有堕胎，还有纳粹？没有你玩个鸡毛的南方公园？,风雨骑老师,1341.0,https://img1.doubanio.com/lpic/s27244467.jpg,64,动作
65,65,FC/NES/红白机,游戏 / 横版过关 / 动作,9.3,松鼠大作战2 チップとデールの大作戦2,https://www.douban.com/game/20394040/,50.0,撕逼游戏，手残如我总被我妹举起来通关。,Hideo,1118.0,https://img3.doubanio.com/lpic/s29258411.jpg,65,动作
66,66,PS3 / PS2 / PSV/PS Vita,游戏 / 动作,9.3,战神 God of War,https://www.douban.com/game/26366248/,50.0,小学的时候在PSP玩通关的，一直爱的不得了，但是后来PSP就丢了...,顗禮,1535.0,https://img3.doubanio.com/lpic/s9099790.jpg,66,动作
67,67,PC / Mac / iPhone / iPad / Android / PS4 / Xbox One / PS3 / Xbox 360 / Nintendo Switch,游戏 / 横版过关 / 冒险 / 动作,9.3,勇敢的心：世界大战 Valiant Hearts: The Great War,https://www.douban.com/game/25922096/,50.0,我们每次调侃育碧的BUG，缩水和跳票的时候，其实都没有想过育碧在推动原创游戏和独立游戏发展方面的贡献。有人说小游戏形态的育碧是站在业界之巅的，此话不假。本作无论是游戏解谜设计，剧情，人物，场景，音乐，乃至于收集要素的种种丰富细节，都让人叹为观止。一战题材是游戏界鲜有人及的领域，但育碧这一次没有创作一个身手矫健的战争英雄， 而是聚焦四个不同民族，肤色和职业的平凡人物，以及他们在无情战争中交织的命运。从立意上来讲，本作远远高于我们熟知的那些FPS。画风轻松，主题沉重，战争是为了和平，我们应该庆幸自己没有处于那些朝不保夕的日子，并敬重那些为了国家献出生命的每一位士兵，每一位。,风雨骑老师,3426.0,https://img3.doubanio.com/lpic/s27318593.jpg,67,动作
68,68,MD/世嘉五代,游戏 / 射击 / 动作,9.3,魂斗罗：铁血军团 魂斗羅ザ・ハードコア,https://www.douban.com/game/21980464/,50.0,最爽的魂斗罗，没有之一——不知道为什么不少系列作品中素质最高的都是外传，比如生化的维罗妮卡,liubinyan,236.0,https://img3.doubanio.com/lpic/s29054943.jpg,68,动作
69,69,PC / Xbox One,游戏 / 横版过关 / 动作,9.3,奥里与迷失森林 Ori and the Blind Forest,https://www.douban.com/game/26345553/,50.0,读研时候玩的，室友中午出门看我在玩，晚上回来问我：你怎么还在这呢？,ぽんぽこ仮面,1829.0,https://img1.doubanio.com/lpic/s28050969.jpg,69,动作
70,70,PC / PS4 / PS3,游戏 / 角色扮演 / 动作,9.3,如龙0 誓言的场所 龍が如く0 誓いの場所,https://www.douban.com/game/26341675/,50.0,其实豆瓣游戏里面少一个“看过”的选项,milanow,2093.0,https://img1.doubanio.com/lpic/s28062437.jpg,70,动作
